,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,HOU,Jadeveon Clowney,DE,21,2020,0,3,5,47,39,83,0,0,0,0,0,0,0,0,0,0,0,186,1,32,South Carolina,College Stats
1,2,STL,Greg Robinson,T,21,2019,0,0,5,28,14,83,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats
1,3,JAX,Blake Bortles,QB,22,2019,0,0,5,44,44,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,,Central Florida,College Stats
1,4,BUF,Sammy Watkins,WR,21,2020,0,0,5,39,19,86,0,1,0,0,1,11,76,0,321,4665,33,,,,Clemson,College Stats
1,5,OAK,Khalil Mack,LB,23,2020,3,6,7,81,45,110,0,0,0,0,0,0,0,0,0,0,0,337,3,70.5,Buffalo,College Stats
1,6,ATL,Jake Matthews,T,22,2020,0,1,7,59,59,111,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
1,7,TAM,Mike Evans,WR,21,2020,0,3,7,55,55,106,0,0,0,0,0,0,0,0,532,8266,61,,,,Texas A&M,College Stats
1,8,CLE,Justin Gilbert,DB,22,2016,0,0,0,3,3,35,0,0,0,0,0,0,0,0,0,0,0,36,1,,Oklahoma St.,College Stats
1,9,MIN,Anthony Barr,LB,22,2020,0,4,5,50,50,87,0,0,0,0,0,0,0,0,0,0,0,297,2,15,UCLA,College Stats
1,10,DET,Eric Ebron,TE,21,2020,0,1,4,27,15,98,0,1,0,0,0,4,-7,2,339,3753,32,,,,North Carolina,College Stats
1,11,TEN,Taylor Lewan,T,23,2020,0,3,6,45,45,90,0,0,0,0,0,0,0,0,1,10,1,,,,Michigan,College Stats
1,12,NYG,Odell Beckham Jr.,WR,21,2020,0,3,5,51,42,82,4,6,144,2,0,21,156,1,487,6830,51,1,,,LSU,College Stats
1,13,STL,Aaron Donald,DT,23,2020,6,7,7,99,99,110,0,0,0,0,0,0,0,0,0,0,0,247,,85.5,Pittsburgh,College Stats
