,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,TAM,Jameis Winston,QB,21,2020,0,1,5,54,54,76,1570,2559,19812,121,88,256,1038,10,0,0,0,,,,Florida St.,College Stats
1,2,TEN,Marcus Mariota,QB,21,2020,0,0,4,45,44,64,1127,1793,13433,77,45,251,1487,12,2,62,1,,,,Oregon,College Stats
1,3,JAX,Dante Fowler,OLB,21,2020,0,0,2,19,4,77,0,0,0,0,0,0,0,0,0,0,0,116,,30.5,Florida,College Stats
1,4,OAK,Amari Cooper,WR,21,2020,0,4,6,45,23,93,0,0,0,0,0,14,41,0,449,6211,38,,,,Alabama,College Stats
1,5,WAS,Brandon Scherff,T,23,2020,1,4,6,42,42,78,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
1,6,NYJ,Leonard Williams,DE,21,2020,0,1,5,47,37,95,0,0,0,0,0,0,0,0,0,0,0,164,1,29,USC,College Stats
1,7,CHI,Kevin White,WR,23,2020,0,0,0,2,2,17,0,0,0,0,0,1,9,0,25,285,0,,,,West Virginia,College Stats
1,8,ATL,Vic Beasley,OLB,23,2020,1,1,5,36,36,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,Clemson,College Stats
1,9,NYG,Ereck Flowers,T,21,2020,0,0,6,33,22,89,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL),College Stats
1,10,STL,Todd Gurley,RB,21,2020,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,,Georgia,College Stats
1,11,MIN,Trae Waynes,CB,23,2019,0,0,3,19,19,74,0,0,0,0,0,0,0,0,0,0,0,215,7,1,Michigan St.,College Stats
1,12,CLE,Danny Shelton,NT,22,2020,0,0,5,34,17,87,0,0,0,0,0,0,0,0,0,0,0,126,,5.5,Washington,College Stats
1,13,NOR,Andrus Peat,T,21,2020,0,3,5,41,41,78,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
1,14,MIA,DeVante Parker,WR,22,2020,0,0,4,28,28,83,0,0,0,0,0,0,0,0,298,4212,22,,,,Louisville,College Stats
1,15,SDG,Melvin Gordon,RB,22,2020,0,2,5,43,38,82,0,0,0,0,0,1274,5226,45,256,2031,12,,,,Wisconsin,College Stats
1,16,HOU,Kevin Johnson,CB,23,2020,0,0,0,10,7,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5,Wake Forest,College Stats
1,17,SFO,Arik Armstead,DT,21,2020,0,0,4,28,28,78,0,0,0,0,0,0,0,0,0,0,0,125,,22.5,Oregon,College Stats
1,18,KAN,Marcus Peters,CB,22,2020,2,3,5,62,31,91,0,0,0,0,0,0,0,0,0,0,0,249,31,1,Washington,College Stats
1,19,CLE,Cameron Erving,C,23,2020,0,0,3,23,6,75,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats
1,20,PHI,Nelson Agholor,WR,22,2020,0,0,6,27,19,87,1,1,15,0,0,11,60,0,272,3411,26,,,,USC,College Stats
1,21,CIN,Cedric Ogbuehi,T,23,2020,0,0,2,15,12,57,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
1,22,PIT,Bud Dupree,OLB,22,2020,0,0,4,30,30,81,0,0,0,0,0,0,0,0,0,0,0,169,1,39.5,Kentucky,College Stats
1,23,DEN,Shane Ray,DE,22,2018,0,0,1,13,13,49,0,0,0,0,0,0,0,0,0,0,0,64,,14,Missouri,College Stats
1,24,ARI,D.J. Humphries,T,21,2020,0,0,5,27,27,59,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
1,25,CAR,Shaq Thompson,OLB,21,2020,0,0,6,33,33,86,0,0,0,0,0,0,0,0,0,0,0,302,1,9.5,Washington,College Stats
1,26,BAL,Breshad Perriman,WR,21,2020,0,0,1,13,4,63,0,0,0,0,0,8,26,0,125,2066,14,,,,Central Florida,College Stats
1,27,DAL,Byron Jones,CB,22,2020,0,1,6,35,31,93,0,0,0,0,0,0,0,0,0,0,0,298,4,,Connecticut,College Stats
1,28,DET,Laken Tomlinson,G,23,2020,0,0,6,37,11,95,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats
1,29,IND,Phillip Dorsett,WR,22,2019,0,0,0,14,7,71,0,0,0,0,0,13,84,0,124,1634,11,,,,Miami (FL),College Stats
1,30,GNB,Damarious Randall,S,23,2020,0,0,5,23,12,75,0,0,0,0,0,0,0,0,0,0,0,244,14,2.5,Arizona St.,College Stats
1,31,NOR,Stephone Anthony,ILB,23,2019,0,0,1,9,7,62,0,0,0,0,0,0,0,0,0,0,0,97,1,1,Clemson,College Stats
1,32,NWE,Malcom Brown,DT,21,2020,0,0,5,40,30,89,0,0,0,0,0,0,0,0,0,0,0,130,,11.5,Texas,College Stats
2,33,NYG,Landon Collins,S,21,2020,1,3,5,38,31,81,0,0,0,0,0,0,0,0,0,0,0,431,9,7,Alabama,College Stats
2,34,TAM,Donovan Smith,T,22,2020,0,0,6,47,47,94,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
2,35,OAK,Mario Edwards,DT,21,2020,0,0,1,14,11,74,0,0,0,0,0,0,0,0,0,0,0,82,,14.5,Florida St.,College Stats
2,36,JAX,T.J. Yeldon,RB,21,2020,0,0,2,20,19,60,0,0,0,0,0,492,2005,6,185,1448,7,,,,Alabama,College Stats
2,37,NYJ,Devin Smith,WR,23,2019,0,0,0,2,1,18,0,0,0,0,0,0,0,0,15,248,2,3,,,Ohio St.,College Stats
2,38,WAS,Preston Smith,DE,22,2020,0,0,5,39,25,96,0,0,0,0,0,0,0,0,0,0,0,172,5,40.5,Mississippi St.,College Stats
