,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,42,NOR,Marcus Williams,S,20,2020,0,0,4,20,20,60,0,0,0,0,0,0,0,0,0,0,0,187,13,1,Utah,College Stats
2,43,PHI,Sidney Jones,CB,21,2020,0,0,1,7,5,31,0,0,0,0,0,0,0,0,0,0,0,63,4,,Washington,College Stats
2,44,LAR,Gerald Everett,TE,23,2020,0,0,0,11,11,61,0,0,0,0,0,5,31,1,127,1389,8,,,,South Alabama,College Stats
2,45,CHI,Adam Shaheen,TE,22,2020,0,0,1,3,2,43,0,0,0,0,0,0,0,0,38,399,7,1,,,Ashland,
2,46,IND,Quincy Wilson,CB,21,2020,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,49,2,,Florida,College Stats
2,47,BAL,Tyus Bowser,OLB,22,2020,0,0,0,8,8,63,0,0,0,0,0,0,0,0,0,0,0,52,4,10.5,Houston,College Stats
2,48,CIN,Joe Mixon,RB,21,2020,0,0,2,27,27,50,0,0,0,0,0,812,3359,20,129,1008,5,,,,Oklahoma,College Stats
2,49,WAS,Ryan Anderson,OLB,23,2020,0,0,0,6,6,52,0,0,0,0,0,0,0,0,0,0,0,55,,6,Alabama,College Stats
2,50,TAM,Justin Evans,S,22,2018,0,0,2,7,7,24,0,0,0,0,0,0,0,0,0,0,0,93,4,,Texas A&M,College Stats
2,51,DEN,DeMarcus Walker,DE,22,2020,0,0,0,7,7,36,0,0,0,0,0,0,0,0,0,0,0,31,,10.5,Florida St.,College Stats
2,52,CLE,DeShone Kizer,QB,21,2018,0,0,1,6,5,18,275,518,3081,11,24,82,458,5,0,0,0,,,,Notre Dame,College Stats
2,53,DET,Teez Tabor,CB,21,2018,0,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,36,,,Florida,College Stats
2,54,MIA,Raekwon McMillan,LB,21,2020,0,0,2,11,9,45,0,0,0,0,0,0,0,0,0,0,0,121,,,Ohio St.,College Stats
2,55,NYG,Dalvin Tomlinson,DT,23,2020,0,0,4,24,24,64,0,0,0,0,0,0,0,0,0,0,0,106,,8,Alabama,College Stats
2,56,OAK,Obi Melifonwu,S,23,2018,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Connecticut,College Stats
