School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Michigan,7,"759,997","108,571",
Penn St.,7,"757,775","108,254",
Ohio St.,7,"734,830","104,976",
Tennessee,7,"710,136","101,448",
Texas,7,"686,324","98,046",
Georgia,6,"556,476","92,746",
LSU,8,"739,065","92,383",
Alabama,7,"644,966","92,138",
Florida,7,"633,807","90,544",
Auburn,7,"608,402","86,915",
Southern California,6,"520,756","86,793",
Oklahoma,6,"510,448","85,075",
Nebraska,8,"680,564","85,071",
Texas A&M,7,"575,351","82,193",
Wisconsin,7,"567,616","81,088",
Notre Dame,6,"484,770","80,795",
South Carolina,7,"563,703","80,529",
Clemson,7,"546,004","78,001",
Florida St.,7,"545,773","77,968",
Michigan St.,7,"524,005","74,858",
UCLA,7,"509,563","72,795",
Iowa,7,"491,186","70,169",
Kentucky,7,"486,038","69,434",
Arkansas,6,"412,438","68,740",
Virginia Tech,6,"397,398","66,233",
Missouri,6,"387,120","64,520",
BYU,6,"384,613","64,102",
Arizona St.,7,"446,856","63,837",
Washington,7,"445,479","63,640",
Illinois,6,"370,243","61,707",
California,7,"431,437","61,634",
Oregon,6,"350,661","58,444",
West Virgina,7,"406,593","58,085",
North Carolina,7,"404,800","57,829",
Purdue,7,"396,915","56,702",
North Carolina St.,7,"396,658","56,665",
Virginia,7,"376,708","53,815",
Texas Tech,7,"375,375","53,625",
Mississippi,7,"371,036","53,005",
Arizona,7,"367,080","52,440",
Kansas,7,"356,351","50,907",
South Fla.,6,"298,142","49,690",
Colorado,6,"296,858","49,476",
Pittsburgh,6,"296,113","49,352",
Minnesota,7,"342,705","48,958",
Oklahoma St.,7,"337,828","48,261",
Maryland,7,"335,677","47,954",
Georgia Tech,7,"332,420","47,489",
Iowa St.,6,"284,571","47,429",
Miami (Fla),6,"277,792","46,299",
Utah,6,"273,250","45,542",
Kansas St.,7,"316,327","45,190",
Oregon St.,6,"269,584","44,931",
Mississippi St.,6,"260,716","43,453",
Rutgers,7,"296,643","42,378",
East Carolina,5,"210,080","42,016",
Boston College,7,"287,258","41,037",
Hawaii,8,"328,081","41,010",
Navy,6,"244,809","40,802",
Louisville,8,"317,442","39,680",
UCF,6,"237,576","39,596",
Connecticut,6,"235,988","39,331",
Vanderbilt,6,"230,761","38,460",
Air Force,6,"228,801","38,134",
Fresno St.,5,"189,318","37,864",
UTEP,6,"223,778","37,296",
Stanford,5,"171,292","34,258",
Baylor,7,"238,870","34,124",
Syracuse,6,"200,844","33,474",
Boise St.,6,"193,649","32,275",
Cincinnati,6,"191,788","31,965",
Indiana,8,"254,255","31,782",
Wake Forest,7,"221,662","31,666",
Washington St.,7,"215,030","30,719",
TCU,6,"182,331","30,389",
Southern Miss.,6,"180,609","30,102",
New Mexico,6,"178,275","29,713",
Duke,7,"201,091","28,727",
Northwestern,7,"200,132","28,590",
Army,6,"166,512","27,752",
Memphis,7,"175,024","25,003",
Marshall,6,"148,593","24,766",
San Diego St.,6,"146,255","24,376",
Tulsa,7,"170,576","24,368",
Tulane,6,"136,500","22,750",
Central Mich.,5,"113,294","22,659",
Houston,5,"107,592","21,518",
La.-Lafayette,5,"107,342","21,468",
Arkansas St.,5,"105,525","21,105",
Colorado St.,6,"126,046","21,008",
San Jose St.,6,"125,714","20,952",
UNLV,7,"145,944","20,849",
Middle Tenn.,5,"101,135","20,227",
Rice,6,"121,074","20,179",
SMU,6,"118,681","19,780",
La.-Monroe,6,"117,116","19,519",
Troy,5,"96,157","19,231",
Ball St.,6,"115,204","19,201",
UAB,5,"95,308","19,062",
Nevada,6,"114,259","19,043",
Eastern Mich.,5,"94,756","18,951",
Western Mich.,6,"111,281","18,547",
Wyoming,7,"127,636","18,234",
Northern Ill.,6,"109,110","18,185",
Louisiana Tech,6,"108,121","18,020",
New Mexico St.,6,"106,533","17,756",
Toledo,6,"102,046","17,008",
North Texas,5,"84,778","16,956",
Buffalo,6,"101,545","16,924",
Fla. Atlantick,5,"80,628","16,126",
Bowling Green,5,"78,507","15,701",
Temple,5,"77,909","15,582",
Miami (Ohio),6,"92,611","15,435",
Idaho,6,"92,041","15,340",
Ohio,5,"76,380","15,276",
Utah St.,6,"88,418","14,736",
Akron,5,"71,709","14,342",
Florida Int'l,5,"69,261","13,852",
Kent St.,6,"63,831","10,639",
