,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,STL,Sam Bradford,QB,22,2018,0,0,5,44,23,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,Oklahoma,College Stats
1,2,DET,Ndamukong Suh,DT,23,2020,3,5,11,93,57,174,0,0,0,0,0,0,0,0,0,0,0,373,1,64.5,Nebraska,College Stats
1,3,TAM,Gerald McCoy,DT,22,2019,1,6,10,70,66,139,0,0,0,0,0,0,0,0,0,0,0,235,,59.5,Oklahoma,College Stats
1,4,WAS,Trent Williams,T,22,2020,0,8,10,73,67,134,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
1,5,KAN,Eric Berry,DB,21,2018,3,5,5,50,50,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,Tennessee,College Stats
1,6,SEA,Russell Okung,T,21,2020,0,2,8,63,36,131,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.,College Stats
1,7,CLE,Joe Haden,DB,21,2020,0,3,9,59,37,146,0,0,0,0,0,0,0,0,0,0,0,478,29,3,Florida,College Stats
1,8,OAK,Rolando McClain,LB,21,2015,0,0,5,26,15,65,0,0,0,0,0,0,0,0,0,0,0,288,4,9.5,Alabama,College Stats
1,9,BUF,C.J. Spiller,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson,College Stats
1,10,JAX,Tyson Alualu,DT,23,2020,0,0,6,48,35,172,0,0,0,0,0,1,0,0,2,19,0,252,,24.5,California,College Stats
1,11,SFO,Anthony Davis,T,20,2016,0,0,4,36,36,72,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,College Stats
1,12,SDG,Ryan Mathews,RB,22,2016,0,1,5,43,36,86,0,0,0,0,0,1184,5261,37,179,1371,3,,,,Fresno St.,College Stats
1,13,PHI,Brandon Graham,DE,22,2020,0,1,6,59,59,159,0,0,0,0,0,0,0,0,0,0,0,312,,59,Michigan,College Stats
1,14,SEA,Earl Thomas,DB,21,2019,3,7,9,77,72,140,0,0,0,0,0,0,0,0,0,0,0,497,30,2,Texas,College Stats
1,15,NYG,Jason Pierre-Paul,DE,21,2020,1,3,9,70,51,153,0,0,0,0,0,0,0,0,0,0,0,418,4,89,South Florida,College Stats
1,16,TEN,Derrick Morgan,DE,21,2018,0,0,8,41,41,118,0,0,0,0,0,0,0,0,0,0,0,208,,44.5,Georgia Tech,College Stats
1,17,SFO,Mike Iupati,G,23,2020,1,4,9,65,35,140,0,0,0,0,0,0,0,0,1,10,0,1,,,Idaho,College Stats
1,18,PIT,Maurkice Pouncey,C,21,2020,2,9,9,78,78,134,0,0,0,0,0,0,0,0,1,0,0,,,,Florida,College Stats
1,19,ATL,Sean Weatherspoon,LB,22,2017,0,0,2,22,21,67,0,0,0,0,0,0,0,0,0,0,0,244,2,8,Missouri,College Stats
1,20,HOU,Kareem Jackson,DB,22,2020,0,0,10,49,40,161,0,0,0,0,0,0,0,0,0,0,0,583,19,2,Alabama,College Stats
1,21,CIN,Jermaine Gresham,TE,22,2018,0,2,9,28,22,132,0,0,0,0,0,0,0,0,377,3752,29,1,,,Oklahoma,College Stats
1,22,DEN,Demaryius Thomas,WR,22,2019,0,4,8,69,65,143,0,1,0,0,0,3,6,0,724,9763,63,2,,,Georgia Tech,College Stats
1,23,GNB,Bryan Bulaga,T,21,2020,0,0,8,62,59,125,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,
1,24,DAL,Dez Bryant,WR,21,2020,1,3,7,62,61,119,1,1,10,1,0,6,-3,0,537,7506,75,,,,Oklahoma St.,College Stats
1,25,DEN,Tim Tebow,QB,23,2012,0,0,1,12,11,35,173,361,2422,17,9,197,989,12,0,0,0,1,,,Florida,College Stats
1,26,ARI,Dan Williams,DT,23,2016,0,0,6,32,22,102,0,0,0,0,0,0,0,0,0,0,0,154,1,3.5,Tennessee,College Stats
1,27,NWE,Devin McCourty,DB,23,2020,0,2,11,67,67,171,0,0,0,0,0,0,0,0,0,0,0,644,28,3,Rutgers,College Stats
1,28,MIA,Jared Odrick,DE,22,2016,0,0,3,29,20,87,0,0,0,0,0,0,0,0,0,0,0,135,1,23,Penn St.,College Stats
1,29,NYJ,Kyle Wilson,DB,23,2015,0,0,2,15,13,95,0,0,0,0,0,0,0,0,0,0,0,167,4,1,Boise St.,College Stats
1,30,DET,Jahvid Best,RB,21,2012,0,0,2,13,13,22,0,1,0,0,0,255,945,6,85,774,3,,,,California,College Stats
1,31,IND,Jerry Hughes,DE,22,2020,0,0,7,57,4,167,0,0,0,0,0,0,0,0,0,0,0,268,1,56,TCU,College Stats
1,32,NOR,Patrick Robinson,DB,23,2020,0,0,1,29,14,123,0,0,0,0,0,0,0,0,0,0,0,281,16,2,Florida St.,College Stats
2,33,STL,Rodger Saffold,T,22,2020,0,0,9,60,45,145,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
2,34,MIN,Chris Cook,DB,23,2014,0,0,2,9,9,40,0,0,0,0,0,0,0,0,0,0,0,107,,1,Virginia,College Stats
2,35,TAM,Brian Price,DT,21,2012,0,0,1,4,4,20,0,0,0,0,0,0,0,0,0,0,0,23,,3,UCLA,College Stats
2,36,KAN,Dexter McCluster,WR,21,2016,0,1,1,21,17,89,0,0,0,0,0,250,1042,2,236,1993,7,1,,,Mississippi,College Stats
2,37,PHI,Nate Allen,DB,22,2017,0,0,5,28,26,100,0,0,0,0,0,0,0,0,0,0,0,303,13,4,South Florida,College Stats
2,38,CLE,T.J. Ward,DB,23,2017,0,2,7,40,23,107,0,0,0,0,0,0,0,0,0,0,0,458,8,8.5,Oregon,College Stats
2,39,TAM,Arrelious Benn,WR,21,2017,0,0,2,8,7,61,0,0,0,0,0,15,44,0,65,990,6,24,,,Illinois,College Stats
2,40,MIA,Koa Misi,LB,23,2016,0,0,6,30,30,84,0,0,0,0,0,0,0,0,0,0,0,258,,12,Utah,College Stats
