Institution Year,Conference,Year,Year AvgAttendance,Nullify,Institution,% Attendance Change,Additive Attendance Change,Number of Records,Prior Year AvgAttendance,Prior Year CWS,Prior Year RPI,Prior Year Tournament,Prior Year WL%
Oral Roberts 2016,Summit League,2016,807,0,Oral Roberts,0.483455882,263,1,544,0,0.55489,1,0.719298246
South Dakota St. 2016,Summit League,2016,183,0,South Dakota St.,-0.221276596,-52,1,235,0,0.48542,0,0.530612245
Western Ill. 2016,Summit League,2016,165,0,Western Ill.,-0.051724138,-9,1,174,0,0.45243,0,0.3125
Appalachian St. 2016,Sun Belt,2016,287,0,Appalachian St.,-0.386752137,-181,1,468,0,0.45601,0,0.320754717
Arkansas St. 2016,Sun Belt,2016,424,0,Arkansas St.,-0.082251082,-38,1,462,0,0.50579,0,0.473684211
Coastal Caro. 2016,Sun Belt,2016,1553,0,Coastal Caro.,0.114060258,159,1,1394,0,0.57418,1,0.65
Ga. Southern 2016,Sun Belt,2016,832,0,Ga. Southern,-0.324126726,-399,1,1231,0,0.50723,0,0.526315789
Georgia St. 2016,Sun Belt,2016,286,0,Georgia St.,0.144,36,1,250,0,0.4905,0,0.527272727
La.-Monroe 2016,Sun Belt,2016,424,0,La.-Monroe,-0.661612131,-829,1,1253,0,0.46329,0,0.462962963
Little Rock 2016,Sun Belt,2016,387,0,Little Rock,0.417582418,114,1,273,0,0.46255,0,0.326530612
Louisiana 2016,Sun Belt,2016,4060,0,Louisiana,0.118457300,430,1,3630,0,0.56212,1,0.646153846
South Ala. 2016,Sun Belt,2016,1512,0,South Ala.,0.076156584,107,1,1405,0,0.53174,0,0.649122807
Texas St. 2016,Sun Belt,2016,1294,0,Texas St.,0.026169707,33,1,1261,0,0.48989,0,0.429824561
Troy 2016,Sun Belt,2016,1003,0,Troy,-0.165557404,-199,1,1202,0,0.50892,0,0.545454545
UT Arlington 2016,Sun Belt,2016,625,0,UT Arlington,0.110124334,62,1,563,0,0.49694,0,0.428571429
BYU 2016,West Coast,2016,1607,0,BYU,0.487962963,527,1,1080,0,0.50934,0,0.528301887
Gonzaga 2016,West Coast,2016,975,0,Gonzaga,0.448736999,302,1,673,0,0.50535,0,0.461538462
Loyola Marymount 2016,West Coast,2016,371,0,Loyola Marymount,0.120845921,40,1,331,0,0.5136,0,0.609090909
Pacific 2016,West Coast,2016,562,0,Pacific,-0.045840407,-27,1,589,0,0.43725,0,0.274509804
Pepperdine 2016,West Coast,2016,491,0,Pepperdine,0.305851064,115,1,376,0,0.51519,1,0.524590164
Portland 2016,West Coast,2016,292,0,Portland,-0.146198830,-50,1,342,0,0.42949,0,0.222222222
San Diego 2016,West Coast,2016,633,0,San Diego,0.069256757,41,1,592,0,0.52869,0,0.6
San Francisco 2016,West Coast,2016,369,0,San Francisco,0.618421053,141,1,228,0,0.48885,0,0.425925926
Santa Clara 2016,West Coast,2016,392,0,Santa Clara,0.285245902,87,1,305,0,0.48584,0,0.481481481
St. Mary's (CA) 2016,West Coast,2016,128,0,St. Mary's (CA),-0.209876543,-34,1,162,0,0.48351,0,0.509090909
Chicago St. 2016,Western Athletic,2016,85,0,Chicago St.,0.133333333,10,1,75,0,0.39803,0,0.235849057
CSU Bakersfield 2016,Western Athletic,2016,628,0,CSU Bakersfield,0.105633803,60,1,568,0,0.51156,1,0.604838710
Grand Canyon 2016,Western Athletic,2016,671,0,Grand Canyon,0.339321357,170,1,501,0,0.50948,0,0.592592593
New Mexico St. 2016,Western Athletic,2016,600,0,New Mexico St.,-0.180327869,-132,1,732,0,0.4108,0,0.23
North Dakota 2016,Western Athletic,2016,259,0,North Dakota,0.321428571,63,1,196,0,0.45633,0,0.458333333
Northern Colo. 2016,Western Athletic,2016,128,0,Northern Colo.,-0.157894737,-24,1,152,0,0.40562,0,0.311111111
Sacramento St. 2016,Western Athletic,2016,318,0,Sacramento St.,-0.201005025,-80,1,398,0,0.47153,0,0.542372881
Seattle U 2016,Western Athletic,2016,149,0,Seattle U,0.137404580,18,1,131,0,0.45506,0,0.526315789
Utah Valley 2016,Western Athletic,2016,1010,0,Utah Valley,0.142533937,126,1,884,0,0.44266,0,0.351851852
UTRGV 2016,Western Athletic,2016,565,0,UTRGV,0.348448687,146,1,419,0,0.43362,0,0.397959184
