School,Team,City_State,Current_Conference,Network
UAB,Blazers,"Birmingham, AL",USA,
UCF,Knights,"Orlando, FL",American Athletic,
UCLA,Bruins,"Los Angeles, CA",PAC-12,
UConn,"Huskies, Uconn","Storrs, CT",Big East,
UNLV,Rebels,"Las Vegas, NV",Mountain West,
Utah,Utes,"Salt Lake City, UT",PAC-12,
Utah St.,Aggies,"Logan, UT",Mountain West,
UTEP,Miners,"El Paso, TX",USA,
UTSA,Roadrunners,"San Antonio, TX",USA,
Vanderbilt,Commodores,"Nashville, TN",Southeastern,
Virginia,Cavaliers,"Charlottesville, VA",Atlantic Coast,
Virginia Tech,Hokies,"Blacksburg, VA",Atlantic Coast,
Wake Forest,Demon Deacons,"Winston-Salem, NC",Atlantic Coast,
Washington,Huskies,"Seattle, WA",PAC-12,
Washington St.,Cougars,"Pullman, WA",PAC-12,
West Virginia,Mountaineers,"Morgantown, WV",Big 12,
Western Ky.,Hilltoppers,"Bowling Green, KY",USA,
Western Mich.,Broncos,"Kalamazoo, MI",Mid-American,
Wisconsin,Badgers,"Madison, WI",Non-NCAA Org,
Wyoming,Cowboys,"Laramie, WY",Mountain West,
