School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"177,519","29,587",1
Akron,6,"62,021","10,337",2
Alabama,7,"712,747","101,821",3
Appalachian St.,6,"156,916","26,153",4
Arizona,7,"338,017","48,288",5
Arizona St.,6,"286,417","47,736",6
Arkansas,7,"487,067","69,581",7
Arkansas St,6,"136,200","22,700",8
Army West Point,5,"163,267","32,653",9
Auburn,8,"695,498","86,937",10
Ball St.,5,"38,946","7,789",11
Baylor,6,"275,029","45,838",12
Boise St.,6,"205,640","34,273",13
Boston College,6,"192,942","32,157",14
Bowling Green,6,"90,838","15,140",15
Buffalo,6,"104,957","17,493",16
BYU,6,"351,413","58,569",17
California,6,"279,769","46,628",18
Central Mich.,6,"104,447","17,408",19
Charlotte,6,"85,154","14,192",20
Cincinnati,7,"235,095","33,585",21
Clemson,7,"566,787","80,970",22
Coastal Caro.,,,,23
Colorado,6,"279,652","46,609",24
Colorado St.,6,"165,598","27,600",25
Duke,6,"179,369","29,895",26
East Carolina,6,"264,680","44,113",27
Eastern Mich.,6,"106,064","17,677",28
FIU,7,"117,526","16,789",29
Fla. Atlantic,6,"60,437","10,073",30
Florida,5,"439,229","87,846",31
Florida St.,6,"460,801","76,800",32
Fresno St.,6,"152,960","25,493",33
Ga. Southern,5,"104,095","20,819",34
Georgia,6,"556,476","92,746",35
Georgia St.,6,"90,617","15,103",36
Georgia Tech,7,"332,518","47,503",37
Hawaii,7,"170,299","24,328",38
Houston,6,"233,716","38,953",39
Idaho,5,"55,948","11,190",40
Illinois,7,"319,505","45,644",41
Indiana,7,"301,190","43,027",42
Iowa,7,"487,591","69,656",43
Iowa St.,7,"367,899","52,557",44
Kansas,6,"154,969","25,828",45
Kansas St.,6,"311,512","51,919",46
Kent St.,6,"65,387","10,898",47
Kentucky,7,"375,500","53,643",48
La.-Monroe,5,"67,057","13,411",49
Liberty,,,,50
Louisiana,6,"121,346","20,224",51
Louisiana Tech,5,"102,059","20,412",52
Louisville,6,"324,391","54,065",53
LSU,7,"708,618","101,231",54
Marshall,7,"173,319","24,760",55
Maryland,6,"237,690","39,615",56
Massachusetts,6,"87,059","14,510",57
Memphis,7,"261,419","37,346",58
Miami (FL),6,"351,434","58,572",59
Miami (OH),6,"102,657","17,110",60
Michigan,8,"883,741","110,468",61
Michigan St.,7,"522,666","74,667",62
Middle Tenn.,,,,63
Minnesota,7,"306,697","43,814",64
Mississippi St.,6,"349,904","58,317",65
Missouri,7,"365,651","52,236",66
Navy,6,"189,425","31,571",67
NC State,,,,68
Nebraska,7,"631,402","90,200",69
Nevada,6,"111,003","18,501",70
New Mexico,7,"141,938","20,277",71
New Mexico St.,5,"47,725","9,545",72
North Carolina,6,"301,500","50,250",73
North Carolina St.,6,"402,479","57,497",74
North Texas,6,"119,269","19,878",75
Northern Ill.,5,"55,095","11,019",76
Northwestern,7,"243,586","34,798",77
Notre Dame,6,"484,770","80,795",78
Ohio,6,"127,139","21,190",79
Ohio St.,7,"750,944","107,278",80
Oklahoma,6,"521,142","86,857",81
Oklahoma St.,7,"376,695","53,814",82
Old Dominion,6,"120,708","20,118",83
Ole Miss,7,"454,368","64,910",84
Oregon,6,"328,062","54,677",85
Oregon St.,7,"263,357","37,622",86
Penn St.,7,"701,800","100,257",87
Pittsburgh,7,"322,531","46,076",88
Purdue,7,"241,158","34,451",89
Rice,6,"128,551","21,425",90
Rutgers,7,"313,629","44,804",91
San Diego St.,6,"223,735","37,289",92
San Jose St.,6,"92,515","15,419",93
SMU,6,"142,272","23,712",94
South Ala.,7,"113,749","16,250",95
South Carolina,7,"538,441","76,920",96
South Fla.,7,"262,772","37,539",97
Southern California,6,"410,755","68,459",98
Southern Miss.,6,"171,525","28,588",99
Stanford,6,"264,853","44,142",100
Syracuse,6,"196,828","32,805",101
TCU,7,"316,179","45,168",102
Temple,7,"190,574","27,225",103
Tennessee,7,"706,776","100,968",104
Texas,6,"587,283","97,881",105
Texas A&M,7,"713,418","101,917",106
Texas St.,6,"108,717","18,120",107
Texas Tech,6,"349,498","58,250",108
Toledo,6,"123,766","20,628",109
Troy,6,"135,203","22,534",110
Tulane,6,"136,310","22,718",111
Tulsa,6,"115,404","19,234",112
UAB,,,,113
UCF,6,"214,814","35,802",114
UCLA,6,"404,751","67,459",115
UConn,7,"187,569","26,796",116
UNLV,6,"110,336","18,389",117
Utah,6,"279,038","46,506",118
Utah St.,6,"114,814","19,136",119
UTEP,7,"161,004","23,001",120
UTSA,6,"138,226","23,038",121
Vanderbilt,6,"187,451","31,242",122
Virginia,6,"239,576","39,929",123
Virginia Tech,6,"378,259","63,043",124
Wake Forest,7,"185,192","26,456",125
Washington,7,"452,123","64,589",126
Washington St.,7,"221,722","31,675",127
West Virginia,7,"403,084","57,583",128
Western Ky.,7,"123,935","17,705",129
Western Mich.,6,"143,025","23,838",130
Wisconsin,6,"476,144","79,357",131
Wyoming,7,"148,860","21,266",132
