School,Team,City,State,Current_Conference,ID
Troy,Trojans,Trol, AL,Sun Belt,110
Tulane,Green Wave,New Orleans, LA,American Athletic,111
Tulsa,Golden Hurricane,Tulsa, OK,American Athletic,112
UAB,Blazers,Birmingham, AL,USA,113
UCF,Knights,Orlando, FL,American Athletic,114
UCLA,Bruins,Los Angeles, CA,PAC-12,115
UConn,"Huskies, Uconn",Storrs, CT,Big East,116
UNLV,Rebels,Las Vegas, NV,Mountain West,117
Utah,Utes,Salt Lake City, UT,PAC-12,118
Utah St.,Aggies,Logan, UT,Mountain West,119
UTEP,Miners,El Paso, TX,USA,120
UTSA,Roadrunners,San Antonio, TX,USA,121
Vanderbilt,Commodores,Nashville, TN,Southeastern,122
Virginia,Cavaliers,Charlottesville, VA,Atlantic Coast,123
Virginia Tech,Hokies,Blacksburg, VA,Atlantic Coast,124
Wake Forest,Demon Deacons,Winston-Salem, NC,Atlantic Coast,125
Washington,Huskies,Seattle, WA,PAC-12,126
Washington St.,Cougars,Pullman, WA,PAC-12,127
West Virginia,Mountaineers,Morgantown, WV,Big 12,128
Western Ky.,Hilltoppers,Bowling Green, KY,USA,129
Western Mich.,Broncos,Kalamazoo, MI,Mid-American,130
Wisconsin,Badgers,Madison, WI,Non-NCAA Org,131
Wyoming,Cowboys,Laramie, WY,Mountain West,132
