,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,LAR,Jared Goff,QB,21,2020,0,2,4,49,49,69,1536,2421,18171,107,55,163,314,10,0,0,0,,,,California,College Stats
1,2,PHI,Carson Wentz,QB,23,2020,0,1,5,44,44,68,1562,2492,16811,113,50,258,1061,8,2,11,0,,,,North Dakota St.,College Stats
1,3,SDG,Joey Bosa,DE,21,2020,0,3,5,38,38,63,0,0,0,0,0,0,0,0,0,0,0,177,,47.5,Ohio St.,College Stats
1,4,DAL,Ezekiel Elliott,RB,21,2020,1,3,5,53,53,71,0,0,0,0,0,1413,6384,46,241,1957,10,,,,Ohio St.,College Stats
1,5,JAX,Jalen Ramsey,CB,21,2020,2,4,5,53,29,75,0,0,0,0,0,0,0,0,0,0,0,249,11,,Florida St.,College Stats
1,6,BAL,Ronnie Stanley,T,22,2020,1,1,4,38,38,62,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
1,7,SFO,DeForest Buckner,DE,22,2020,1,1,5,50,36,78,0,0,0,0,0,0,0,0,0,0,0,203,,38,Oregon,College Stats
1,8,TEN,Jack Conklin,T,22,2020,2,0,5,46,31,72,0,0,0,0,0,0,0,0,0,0,0,1,,,Michigan St.,College Stats
1,9,CHI,Leonard Floyd,OLB,23,2020,0,0,5,34,24,70,0,0,0,0,0,0,0,0,0,0,0,139,1,29,Georgia,College Stats
1,10,NYG,Eli Apple,CB,21,2020,0,0,3,17,9,57,0,0,0,0,0,0,0,0,0,0,0,200,3,,Ohio St.,College Stats
1,11,TAM,Vernon Hargreaves III,CB,21,2020,0,0,4,16,10,57,0,0,0,0,0,0,0,0,0,0,0,224,3,,Florida,College Stats
1,12,NOR,Sheldon Rankins,DT,22,2020,0,0,2,17,17,63,0,0,0,0,0,0,0,0,0,0,0,77,1,17.5,Louisville,College Stats
1,13,MIA,Laremy Tunsil,T,22,2020,0,2,5,34,15,72,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats
1,14,OAK,Karl Joseph,S,22,2020,0,0,4,16,13,63,0,0,0,0,0,0,0,0,0,0,0,220,5,3,West Virginia,College Stats
1,15,CLE,Corey Coleman,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor,College Stats
1,16,DET,Taylor Decker,T,23,2020,0,0,5,29,29,71,0,0,0,0,0,0,0,0,1,11,1,,,,Ohio St.,College Stats
1,17,ATL,Keanu Neal,S,21,2020,0,1,3,17,17,49,0,0,0,0,0,0,0,0,0,0,0,243,2,1,Florida,College Stats
1,18,IND,Ryan Kelly,C,23,2020,0,2,5,38,38,66,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama,College Stats
1,19,BUF,Shaq Lawson,DE,22,2020,0,0,1,16,11,64,0,0,0,0,0,0,0,0,0,0,0,80,,20.5,Clemson,College Stats
1,20,NYJ,Darron Lee,OLB,21,2020,0,0,3,18,16,58,0,0,0,0,0,0,0,0,0,0,0,178,3,4,Ohio St.,College Stats
1,21,HOU,Will Fuller,WR,22,2020,0,0,5,24,24,53,0,0,0,0,0,4,6,0,209,3110,24,,,,Notre Dame,College Stats
1,22,WAS,Josh Doctson,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU,College Stats
1,23,MIN,Laquon Treadwell,WR,21,2020,0,0,2,6,6,58,0,0,0,0,0,0,0,0,71,750,4,1,,,Mississippi,College Stats
1,24,CIN,William Jackson III,CB,23,2020,0,0,3,15,15,59,0,0,0,0,0,0,0,0,0,0,0,119,3,1,Houston,College Stats
1,25,PIT,Artie Burns,CB,21,2019,0,0,1,13,13,58,0,0,0,0,0,0,0,0,0,0,0,121,4,,Miami (FL),College Stats
1,26,DEN,Paxton Lynch,QB,22,2017,0,0,0,2,2,5,79,128,792,4,4,16,55,0,0,0,0,,,,Memphis,College Stats
1,27,GNB,Kenny Clark,DT,20,2020,0,1,4,32,32,73,0,0,0,0,0,0,0,0,0,0,0,140,,18.5,UCLA,College Stats
1,28,SFO,Joshua Garnett,G,22,2020,0,0,1,5,5,25,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
1,29,ARI,Robert Nkemdiche,DT,21,2019,0,0,0,5,5,29,0,0,0,0,0,0,0,0,0,0,0,26,,4.5,Mississippi,College Stats
1,30,CAR,Vernon Butler,DT,22,2020,0,0,2,11,8,66,0,0,0,0,0,0,0,0,0,0,0,50,,8,Louisiana Tech,College Stats
1,31,SEA,Germain Ifedi,G,22,2020,0,0,4,34,29,76,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
2,32,CLE,Emmanuel Ogbah,DE,22,2020,0,0,4,26,15,66,0,0,0,0,0,0,0,0,0,0,0,118,,27,Oklahoma St.,College Stats
2,33,TEN,Kevin Dodd,DE,24,2017,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,9,,1,Clemson,College Stats
2,34,DAL,Jaylon Smith,OLB,21,2020,0,1,3,30,30,64,0,0,0,0,0,0,0,0,0,0,0,304,2,9,Notre Dame,College Stats
