,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,42,MIA,Jonathan Martin,T,22,2014,0,0,2,15,11,38,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
2,43,NYJ,Stephen Hill,WR,21,2014,0,0,2,4,4,23,0,0,0,0,0,0,0,0,45,594,4,,,,Georgia Tech,College Stats
2,44,KAN,Jeff Allen,T,22,2019,0,0,4,27,17,84,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats
2,45,CHI,Alshon Jeffery,WR,22,2020,0,1,8,50,34,109,0,0,0,0,0,23,140,1,475,6786,46,,,,South Carolina,College Stats
2,46,PHI,Mychal Kendricks,LB,21,2020,0,0,7,39,32,104,0,0,0,0,0,0,0,0,0,0,0,404,4,19,California,College Stats
2,47,SEA,Bobby Wagner,LB,22,2020,6,7,9,106,106,135,0,0,0,0,0,0,0,0,0,0,0,726,10,22.5,Utah St.,College Stats
2,48,NWE,Tavon Wilson,DB,22,2020,0,0,2,21,5,125,0,0,0,0,0,1,7,0,0,0,0,298,8,5,Illinois,College Stats
2,49,SDG,Kendall Reyes,DT,22,2016,0,0,3,22,22,76,0,0,0,0,0,0,0,0,0,0,0,96,1,14.5,Connecticut,College Stats
2,50,STL,Isaiah Pead,RB,22,2016,0,0,0,1,1,30,0,0,0,0,0,27,100,0,15,100,0,3,,,Cincinnati,College Stats
2,51,GNB,Jerel Worthy,DT,22,2018,0,0,0,3,3,40,0,0,0,0,0,0,0,0,0,0,0,19,,2.5,Michigan St.,College Stats
2,52,TEN,Zach Brown,LB,22,2019,0,1,5,41,16,100,0,0,0,0,0,0,0,0,0,0,0,462,7,17.5,North Carolina,College Stats
2,53,CIN,Devon Still,DT,23,2016,0,0,0,3,3,33,0,0,0,0,0,0,0,0,0,0,0,21,,0.5,Penn St.,College Stats
2,54,DET,Ryan Broyles,WR,24,2014,0,0,0,3,3,21,0,0,0,0,0,0,0,0,32,420,2,,,,Oklahoma,College Stats
