School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Michigan,7,"776,405","110,915",
Tennessee,6,"645,558","107,593",
Ohio St.,7,"735,120","105,017",
Penn St.,7,"734,013","104,859",
Georgia,6,"556,206","92,701",
LSU,6,"549,480","91,580",
Southern California,6,"544,872","90,812",
Florida,6,"542,435","90,406",
Oklahoma,6,"505,984","84,331",
Auburn,7,"589,124","84,161",
Texas,5,"416,663","83,333",
Florida St.,6,"496,343","82,724",
Wisconsin,6,"495,308","82,551",
Alabama,7,"567,126","81,018",
Notre Dame,6,"484,770","80,795",
South Carolina,7,"559,071","79,867",
Texas A&M,6,"478,389","79,732",
Clemson,6,"469,391","78,232",
Nebraska,7,"542,397","77,485",
Michigan St.,6,"451,097","75,183",
Iowa,6,"423,510","70,585",
Virginia Tech,6,"390,690","65,115",
Washington,6,"385,957","64,326",
UCLA,6,"385,305","64,218",
Arkansas,6,"382,070","63,678",
Purdue,6,"377,977","62,996",
Kentucky,6,"374,697","62,450",
Arizona St.,7,"428,096","61,157",
Virginia,6,"365,836","60,973",
California,6,"362,263","60,377",
Oregon,6,"350,602","58,434",
Brigham Young,6,"349,222","58,204",
West Virginia,6,"337,720","56,287",
Mississippi,6,"325,348","54,225",
Arizona,6,"321,676","53,613",
Missouri,6,"320,181","53,364",
North Carolina St.,7,"370,476","52,925",
Maryland,5,"262,129","52,426",
North Carolina,6,"310,000","51,667",
Georgia Tech,6,"309,644","51,607",
Texas Tech,7,"356,802","50,972",
Colorado,6,"302,452","50,409",
Minnesota,6,"294,147","49,025",
UTEP,6,"287,394","47,899",
Illinois,6,"287,113","47,852",
Mississippi St.,6,"286,127","47,688",
Iowa St.,6,"280,232","46,705",
Kansas St.,6,"275,767","45,961",
Miami (Fla.),6,"271,862","45,310",
Oklahoma St.,6,"269,163","44,861",
Kansas,6,"262,051","43,675",
Stanford,6,"261,301","43,550",
Oregon St,6,"253,140","42,190",
Utah,6,"249,215","41,536",
Louisville,6,"246,007","41,001",
Pittsburgh,6,"241,630","40,272",
Syracuse,6,"241,510","40,252",
Connecticut,6,"240,000","40,000",
Memphis,6,"239,946","39,991",
Indiana,6,"237,214","39,536",
Boston College,6,"236,572","39,429",
Fresno St.,6,"235,839","39,307",
Baylor,5,"194,493","38,899",
South Fla.,5,"194,325","38,865",
New Mexico,5,"191,707","38,341",
San Diego St,6,"217,339","36,223",
Vanderbilt,6,"216,187","36,031",
Air Force,5,"179,906","35,981",
Rutgers,6,"199,101","33,184",
East Caro.,5,"165,230","33,046",
Navy,5,"165,066","33,013",
Hawaii,7,"229,142","32,735",
Northwestern,6,"195,163","32,527",
TCU,5,"156,268","31,254",
Washington St.,5,"155,547","31,109",
Army,6,"185,611","30,935",
Boise St.,7,"210,781","30,112",
Colorado St.,5,"146,737","29,347",
Wake Forest,6,"173,544","28,924",
UCF,5,"142,311","28,462",
Southern Miss.,5,"139,312","27,862",
Marshall,6,"159,062","26,510",
Tulsa,5,"114,132","22,826",
Cincinnati,5,"112,113","22,423",
Northern Ill.,5,"110,880","22,176",
Toledo,5,"109,086","21,817",
Wyoming,5,"103,252","20,650",
UAB,5,"100,506","20,101",
UNLV,5,"99,570","19,914",
Troy,5,"97,125","19,425",
Western Mich.,5,"94,530","18,906",
Southern Methodist,6,"111,780","18,630",
Arkansas St.,6,"110,288","18,381",
Ohio,5,"90,167","18,033",
La.-Lafayette,5,"87,957","17,591",
Duke,6,"104,915","17,486",
North Texas,5,"82,232","16,446",
Louisiana Tech,5,"82,080","16,416",
Central Mich.,5,"79,855","15,971",
Miami (Ohio),5,"76,203","15,241",
Idaho,4,"60,700","15,175",
Nevada,6,"90,458","15,076",
Houston,6,"90,324","15,054",
Bowling Green,5,"74,644","14,929",
La.-Monroe,5,"73,084","14,617",
Middle Tenn. St.,5,"72,629","14,526",
Tulane,6,"85,450","14,242",
Ball St.,4,"51,810","12,953",
Temple,5,"63,674","12,735",
New Mexico St.,6,"75,339","12,557",
San Jose St.,5,"62,529","12,506",
Utah St.,5,"54,482","10,896",
Akron,5,"54,464","10,893",
Rice,5,"50,362","10,072",
Buffalo,5,"44,572","8,914",
Kent St,5,"33,292","6,658",
Eastern Mich.,4,"20,874","5,219",
