School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"192,087","32,015",
Akron,6,"55,652","9,275",
Alabama,7,"712,052","101,722",
UAB,6,"91,623","15,271",
Arizona,8,"383,451","47,931",
Arizona St.,6,"341,007","56,835",
Arkansas,7,"476,321","68,046",
Arkansas St.,6,"158,389","26,398",
Army,7,"225,432","32,205",
Auburn,7,"578,521","82,646",
Ball St.,5,"64,649","12,930",
Baylor,6,"247,165","41,194",
Boise St.,6,"212,425","35,404",
Boston College,6,"222,118","37,020",
Bowling Green,6,"94,625","15,771",
BYU,6,"366,965","61,161",
Buffalo,6,"79,451","13,242",
California,7,"391,130","55,876",
UCF,6,"207,646","34,608",
Central Mich.,7,"112,249","16,036",
Cincinnati,7,"203,965","29,138",
Clemson,7,"569,988","81,427",
Colorado,6,"272,235","45,373",
Colorado St.,6,"115,501","19,250",
Connecticut,6,"208,032","34,672",
Duke,7,"197,190","28,170",
East Carolina,6,"282,076","47,013",
Eastern Mich.,6,"23,536","3,923",
Florida,7,"613,182","87,597",
Fla. Atlantic,5,"67,293","13,459",
FIU,6,"81,806","13,634",
Florida St.,7,"529,208","75,601",
Fresno St.,6,"185,488","30,915",
Georgia,7,"648,922","92,703",
Georgia Tech,7,"307,682","43,955",
Hawaii,6,"180,186","30,031",
Houston,7,"190,729","27,247",
Idaho,5,"62,908","12,582",
Illinois,7,"318,950","45,564",
Indiana,6,"268,813","44,802",
Iowa,7,"493,315","70,474",
Iowa St.,7,"386,917","55,274",
Kansas,6,"247,971","41,329",
Kansas St.,7,"351,943","50,278",
Kent St.,5,"89,401","17,880",
Kentucky,7,"347,838","49,691",
La.-Lafayette,6,"137,190","22,865",
La.-Monroe,6,"149,884","24,981",
LSU,8,"741,005","92,626",
Louisiana Tech,6,"155,045","25,841",
Louisville,7,"349,938","49,991",
Marshall,6,"149,377","24,896",
Maryland,6,"216,135","36,023",
Memphis,6,"146,227","24,371",
Miami (FL),6,"286,315","47,719",
Miami (OH),5,"76,665","15,333",
Michigan,6,"673,511","112,252",
Michigan St.,7,"527,671","75,382",
Middle Tenn.,5,"88,691","17,738",
Minnesota,7,"326,456","46,637",
Mississippi St.,7,"389,396","55,628",
Missouri,7,"472,333","67,476",
Navy,5,"161,817","32,363",
Nebraska,7,"598,617","85,517",
Nevada,6,"140,591","23,432",
UNLV,7,"106,456","15,208",
New Mexico,6,"133,840","22,307",
New Mexico,6,"85,480","14,247",
North Carolina,7,"352,000","50,286",
North Carolina St.,6,"324,638","54,106",
North Texas,5,"94,634","18,927",
Northern Ill.,7,"146,139","20,877",
Northwestern,7,"249,877","35,697",
Notre Dame,6,"484,770","80,795",
Ohio,6,"131,063","21,844",
Ohio St.,8,"842,637","105,330",
Oklahoma,6,"511,460","85,243",
Oklahoma St.,7,"395,897","56,557",
Ole Miss,7,"399,462","57,066",
Oregon,7,"402,429","57,490",
Oregon St.,7,"303,971","43,424",
Penn St.,7,"677,108","96,730",
Pittsburgh,6,"248,964","41,494",
Purdue,7,"305,118","43,588",
Rice,5,"101,623","20,325",
Rutgers,6,"295,129","49,188",
San Diego St.,8,"247,029","30,879",
San Jose St.,6,"64,732","10,789",
SMU,7,"149,042","21,292",
South Carolina,7,"560,008","80,001",
South Fla.,6,"264,780","44,130",
Southern California,6,"527,670","87,945",
Southern Miss.,6,"154,503","25,751",
Stanford,7,"303,402","43,343",
Syracuse,5,"189,763","37,953",
Temple,6,"159,481","26,580",
Tennessee,7,"629,752","89,965",
Texas,6,"605,304","100,884",
Texas A&M,6,"522,083","87,014",
TCU,6,"276,281","46,047",
UTEP,6,"176,244","29,374",
Texas Tech,6,"343,251","57,209",
Toledo,6,"123,309","20,552",
Troy,6,"125,709","20,952",
Tulane,7,"126,593","18,085",
Tulsa,7,"140,143","20,020",
UCLA,7,"479,370","68,481",
Utah,6,"272,080","45,347",
Utah St.,6,"120,321","20,054",
Vanderbilt,6,"227,161","37,860",
Virginia,7,"326,548","46,650",
Virginia Tech,6,"393,792","65,632",
Wake Forest,7,"202,387","28,912",
Washington,6,"351,699","58,617",
Washington St.,5,"151,259","30,252",
West Virginia,7,"391,409","55,916",
Western Ky.,6,"104,488","17,415",
Western,6,"87,475","14,579",
Wisconsin,7,"560,039","80,006",
Wyoming,6,"117,327","19,555",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
