School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,7,"228,562","32,652",
Akron,6,"107,101","17,850",
Alabama,7,"710,538","101,505",
Arizona,6,"285,713","47,619",
Arizona St.,8,"501,509","62,689",
Arkansas,7,"431,174","61,596",
Arkansas St.,6,"149,477","24,913",
Army,5,"169,781","33,956",
Auburn,8,"685,252","85,657",
Ball St,6,"90,784","15,131",
Baylor,7,"321,639","45,948",
Boise St.,6,"206,198","34,366",
Boston College,6,"198,035","33,006",
Bowling Green,6,"91,548","15,258",
Buffalo,6,"136,418","22,736",
BYU,6,"367,349","61,225",
California,7,"345,303","49,329",
Central Mich.,5,"66,119","13,224",
Cincinnati,6,"190,624","31,771",
Clemson,7,"574,333","82,048",
Colorado,6,"230,778","38,463",
Colorado St.,6,"111,598","18,600",
Duke,7,"182,431","26,062",
East Carolina,6,"263,910","43,985",
Eastern Mich.,5,"20,255","4,051",
FIU,6,"92,717","15,453",
Fla. Atlantic,5,"72,758","14,552",
Florida,6,"524,638","87,440",
Florida St.,7,"527,947","75,421",
Fresno St.,7,"258,417","36,917",
Georgia,6,"556,476","92,746",
Georgia Tech,7,"343,542","49,077",
Hawaii,6,"185,931","30,989",
Houston,6,"145,537","24,256",
Idaho,5,"73,718","14,744",
Illinois,7,"306,506","43,787",
Indiana,8,"354,823","44,353",
Iowa,7,"469,872","67,125",
Iowa St.,6,"332,165","55,361",
Kansas,7,"265,187","37,884",
Kansas St.,8,"423,095","52,887",
Kent St.,5,"85,091","17,018",
Kentucky,7,"416,303","59,472",
La.-Lafayette,5,"129,878","25,976",
La.-Monroe,5,"85,177","17,035",
Louisiana Tech,5,"93,332","18,666",
Louisville,7,"370,396","52,914",
LSU,7,"639,927","91,418",
Marshall,6,"150,138","25,023",
Maryland,7,"288,946","41,278",
Massachusetts,6,"94,981","15,830",
Memphis,7,"199,760","28,537",
Miami (FL),7,"376,857","53,837",
Miami (OH),5,"79,676","15,935",
Michigan,7,"781,144","111,592",
Michigan St.,7,"506,294","72,328",
Middle Tenn.,6,"112,287","18,715",
Minnesota,7,"334,581","47,797",
Mississippi St.,7,"389,868","55,695",
Missouri,7,"444,532","63,505",
Navy,5,"177,940","35,588",
Nebraska,8,"727,466","90,933",
Nevada,6,"149,635","24,939",
New Mexico,6,"141,220","23,537",
New Mexico St.,7,"112,347","16,050",
North Carolina,7,"360,500","51,500",
North Carolina St.,8,"425,420","53,178",
North Texas,6,"126,182","21,030",
Northern Ill.,5,"103,344","20,669",
Northwestern,7,"275,147","39,307",
Notre Dame,6,"484,770","80,795",
Ohio,7,"144,701","20,672",
Ohio St.,7,"734,528","104,933",
Oklahoma,6,"508,334","84,722",
Oklahoma St.,6,"354,754","59,126",
Ole Miss,7,"415,750","59,393",
Oregon,7,"403,617","57,660",
Oregon St.,6,"257,784","42,964",
Penn St.,7,"676,112","96,587",
Pittsburgh,7,"348,188","49,741",
Purdue,7,"342,673","48,953",
Rice,6,"112,711","18,785",
Rutgers,7,"46,549",,
San Diego St.,6,"199,344","33,224",
San Jose St.,6,"98,174","16,362",
SMU,6,"112,347","18,725",
South Ala.,6,"95,555","15,926",
South Carolina,7,"576,805","82,401",
South Fla.,7,"242,911","34,702",
Southern California,7,"511,885","73,126",
Southern Miss.,5,"113,759","22,752",
Stanford,7,"355,081","50,726",
Syracuse,6,"229,661","38,277",
TCU,6,"261,587","43,598",
Temple,6,"134,836","22,473",
Tennessee,7,"669,087","95,584",
Texas,6,"593,857","98,976",
Texas A&M,8,"697,003","87,125",
Texas St.,6,"108,371","18,062",
Texas Tech,6,"347,597","57,933",
Toledo,6,"110,803","18,467",
Troy,5,"94,529","18,906",
Tulane,6,"118,482","19,747",
Tulsa,6,"119,356","19,893",
UAB,5,"52,739","10,548",
UCF,6,"252,505","42,084",
UCLA,6,"421,711","70,285",
UConn,7,"216,523","30,932",
UNLV,7,"120,486","17,212",
Utah,7,"316,361","45,194",
Utah St.,6,"139,576","23,263",
UTEP,5,"141,877","28,375",
Vanderbilt,7,"249,728","35,675",
Virginia,8,"370,234","46,279",
Virginia Tech,6,"383,993","63,999",
Wake Forest,6,"170,484","28,414",
Washington,7,"481,384","68,769",
Washington St.,6,"178,427","29,738",
West Virgina,6,"317,459","52,910",
Western Ky.,5,"91,672","18,334",
Western Mich.,5,"86,733","17,347",
Wisconsin,7,"552,378","78,911",
Wyoming,6,"116,854","19,476",
