,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,42,DEN,Drew Lock,QB,22,2020,0,0,1,8,8,18,354,599,3953,23,18,62,232,3,0,0,0,,,,Missouri,College Stats
2,43,DET,Jahlani Tavai,LB,22,2020,0,0,1,8,8,31,0,0,0,0,0,0,0,0,0,0,0,69,1,2,Hawaii,College Stats
2,44,GNB,Elgton Jenkins,C,23,2020,0,1,2,19,19,32,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats
2,45,NWE,Joejuan Williams,CB,21,2020,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,16,,,Vanderbilt,College Stats
2,46,CLE,Greedy Williams,CB,21,2019,0,0,1,4,4,12,0,0,0,0,0,0,0,0,0,0,0,37,,,LSU,College Stats
2,47,SEA,Marquise Blair,S,22,2020,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,29,,,Utah,College Stats
2,48,NOR,Erik McCoy,C,22,2020,0,0,2,17,17,32,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
2,49,IND,Ben Banogu,LB,23,2020,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,9,,2.5,TCU,College Stats
2,50,MIN,Irv Smith Jr.,TE,21,2020,0,0,0,6,6,29,0,0,0,0,0,0,0,0,66,676,7,2,,,Alabama,College Stats
2,51,TEN,A.J. Brown,WR,22,2020,0,1,2,23,23,30,0,0,0,0,0,3,60,1,122,2126,19,,,,Mississippi,College Stats
2,52,CIN,Drew Sample,TE,23,2020,0,0,1,2,2,25,0,0,0,0,0,0,0,0,45,379,1,,,,Washington,College Stats
2,53,PHI,Miles Sanders,RB,22,2020,0,0,2,14,14,28,0,0,0,0,0,343,1685,9,78,706,3,,,,Penn St.,College Stats
2,54,HOU,Lonnie Johnson Jr.,CB,23,2020,0,0,0,5,5,30,0,0,0,0,0,0,0,0,0,0,0,90,,,Kentucky,College Stats
2,55,HOU,Max Scharping,T,23,2020,0,0,2,13,13,31,0,0,0,0,0,0,0,0,0,7,0,,,,Northern Illinois,College Stats
2,56,KAN,Mecole Hardman,WR,21,2020,0,1,0,13,13,32,0,0,0,0,0,8,48,0,67,1098,10,,,,Georgia,College Stats
2,57,PHI,JJ Arcega-Whiteside,WR,22,2020,0,0,0,2,2,24,0,0,0,0,0,0,0,0,14,254,1,,,,Stanford,College Stats
2,58,DAL,Trysten Hill,DT,21,2020,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,10,,,Central Florida,College Stats
2,59,IND,Parris Campbell,WR,22,2020,0,0,0,2,2,9,0,0,0,0,0,6,50,0,24,198,1,,,,Ohio St.,College Stats
2,60,LAC,Nasir Adderley,S,22,2020,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,60,1,,Delaware,
2,61,LAR,Taylor Rapp,S,21,2020,0,0,1,9,9,24,0,0,0,0,0,0,0,0,0,0,0,94,3,,Washington,College Stats
2,62,ARI,Andy Isabella,WR,22,2020,0,0,0,4,4,28,0,0,0,0,0,5,9,0,30,413,3,1,,,Massachusetts,College Stats
