,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,OAK,JaMarcus Russell,QB,22,2009,0,0,2,6,6,31,354,680,4083,18,23,40,175,1,0,0,0,,,,LSU,College Stats
1,2,DET,Calvin Johnson HOF,WR,21,2015,3,6,9,78,78,135,0,0,0,0,0,19,167,1,731,11619,83,,,,Georgia Tech,College Stats
1,3,CLE,Joe Thomas,T,22,2017,6,10,10,91,91,167,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
1,4,TAM,Gaines Adams,DE,24,2009,0,0,1,17,17,47,0,0,0,0,0,0,0,0,0,0,0,67,2,13.5,Clemson,College Stats
1,5,ARI,Levi Brown,T,23,2013,0,0,5,36,36,82,0,0,0,0,0,0,0,0,1,4,0,,,,Penn St.,College Stats
1,6,WAS,LaRon Landry,DB,22,2014,0,1,7,37,24,103,0,0,0,0,0,0,0,0,0,0,0,467,6,8,LSU,College Stats
1,7,MIN,Adrian Peterson,RB,22,2020,4,7,11,99,87,180,0,0,0,0,0,3192,14820,118,301,2466,6,,,,Oklahoma,College Stats
1,8,ATL,Jamaal Anderson,DE,21,2012,0,0,3,20,19,77,0,0,0,0,0,0,0,0,0,0,0,96,,7.5,Arkansas,College Stats
1,9,MIA,Ted Ginn Jr.,WR,22,2020,0,0,7,52,14,193,1,1,10,0,0,68,486,2,412,5742,33,6,,,Ohio St.,College Stats
1,10,HOU,Amobi Okoye,DT,20,2014,0,0,4,24,21,87,0,0,0,0,0,0,0,0,0,0,0,118,,16,Louisville,College Stats
1,11,SFO,Patrick Willis,LB,22,2014,5,7,7,91,91,112,0,0,0,0,0,0,0,0,0,0,0,733,8,20.5,Mississippi,College Stats
1,12,BUF,Marshawn Lynch,RB,21,2019,1,5,8,74,16,149,1,3,8,1,0,2453,10413,85,287,2214,9,1,,,California,College Stats
1,13,STL,Adam Carriker,DE,23,2012,0,0,3,22,9,65,0,0,0,0,0,0,0,0,0,0,0,86,,9,Nebraska,College Stats
1,14,NYJ,Darrelle Revis,DB,22,2017,4,7,9,92,75,145,0,0,0,0,0,0,0,0,0,-1,0,411,29,2,Pittsburgh,College Stats
1,15,PIT,Lawrence Timmons,LB,21,2017,0,1,9,72,69,172,0,0,0,0,0,0,0,0,0,0,0,737,12,35.5,Florida St.,College Stats
1,16,GNB,Justin Harrell,DT,23,2010,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,17,,,Tennessee,College Stats
1,17,DEN,Jarvis Moss,DE,23,2011,0,0,0,3,2,53,0,0,0,0,0,0,0,0,0,0,0,34,,6,Florida,College Stats
1,18,CIN,Leon Hall,DB,22,2018,0,0,6,50,49,152,0,0,0,0,0,0,0,0,0,0,0,425,27,2,Michigan,College Stats
1,19,TEN,Michael Griffin,DB,22,2016,0,2,9,53,51,154,0,0,0,0,0,0,0,0,0,0,0,605,25,7,Texas,College Stats
1,20,NYG,Aaron Ross,DB,24,2014,0,0,4,21,19,83,0,0,0,0,0,0,0,0,0,0,0,201,11,2.5,Texas,College Stats
1,21,JAX,Reggie Nelson,DB,23,2018,0,2,11,68,11,181,0,0,0,0,0,0,0,0,0,0,0,618,38,6.5,Florida,College Stats
1,22,CLE,Brady Quinn,QB,22,2012,0,0,1,2,3,24,296,550,3043,12,17,44,185,1,1,18,0,,,,Notre Dame,College Stats
1,23,KAN,Dwayne Bowe,WR,22,2015,0,1,8,49,49,125,0,0,0,0,0,2,16,0,537,7208,44,,,,LSU,College Stats
1,24,NWE,Brandon Meriweather,DB,23,2015,0,2,6,33,22,112,0,0,0,0,0,0,0,0,0,0,0,337,17,6,Miami (FL),College Stats
1,25,CAR,Jon Beason,LB,22,2015,1,3,5,55,47,93,0,0,0,0,0,0,0,0,0,0,0,526,10,4,Miami (FL),College Stats
1,26,DAL,Anthony Spencer,DE,23,2014,0,1,4,33,33,104,0,0,0,0,0,0,0,0,0,0,0,272,1,33,Purdue,College Stats
1,27,NOR,Robert Meachem,WR,22,2014,0,0,1,26,25,103,0,0,0,0,0,18,127,1,178,2914,27,,,,Tennessee,College Stats
1,28,SFO,Joe Staley,T,23,2019,0,6,12,89,89,181,0,0,0,0,0,0,0,0,3,26,0,1,,,Central Michigan,College Stats
1,29,BAL,Ben Grubbs,G,23,2015,0,2,9,54,25,129,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats
1,30,SDG,Craig Davis,WR,21,2010,0,0,0,7,7,25,0,0,0,0,0,4,13,0,51,558,2,,,,LSU,College Stats
1,31,CHI,Greg Olsen,TE,22,2020,0,3,10,59,11,199,0,0,0,0,0,0,0,0,742,8683,60,,,,Miami (FL),College Stats
1,32,IND,Anthony Gonzalez,WR,22,2011,0,0,1,16,16,40,0,0,0,0,0,0,0,0,99,1307,7,,,,Ohio St.,College Stats
2,33,ARI,Alan Branch,DT,22,2017,0,0,6,46,4,146,0,0,0,0,0,0,0,0,0,0,0,185,,10.5,Michigan,College Stats
2,34,BUF,Paul Posluszny,LB,22,2017,0,1,9,61,16,145,0,0,0,0,0,0,0,0,0,0,0,882,15,16,Penn St.,College Stats
