School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,177519,29587,1
Akron,6,62021,10337,2
Alabama,7,712747,101821,3
Appalachian St.,6,156916,26153,4
Arizona,7,338017,48288,5
Arizona St.,6,286417,47736,6
Arkansas,7,487067,69581,7
Arkansas St,6,136200,22700,8
Army West Point,5,163267,32653,9
Auburn,8,695498,86937,10
Ball St.,5,38946,7789,11
Baylor,6,275029,45838,12
Boise St.,6,205640,34273,13
Boston College,6,192942,32157,14
Bowling Green,6,90838,15140,15
Buffalo,6,104957,17493,16
BYU,6,351413,58569,17
California,6,279769,46628,18
Central Mich.,6,104447,17408,19
Charlotte,6,85154,14192,20
Cincinnati,7,235095,33585,21
Clemson,7,566787,80970,22
Coastal Caro.,,,,23
Colorado,6,279652,46609,24
Colorado St.,6,165598,27600,25
Duke,6,179369,29895,26
East Carolina,6,264680,44113,27
Eastern Mich.,6,106064,17677,28
FIU,7,117526,16789,29
Fla. Atlantic,6,60437,10073,30
Florida,5,439229,87846,31
Florida St.,6,460801,76800,32
Fresno St.,6,152960,25493,33
Ga. Southern,5,104095,20819,34
Georgia,6,556476,92746,35
Georgia St.,6,90617,15103,36
Georgia Tech,7,332518,47503,37
Hawaii,7,170299,24328,38
Houston,6,233716,38953,39
Idaho,5,55948,11190,40
Illinois,7,319505,45644,41
Indiana,7,301190,43027,42
Iowa,7,487591,69656,43
Iowa St.,7,367899,52557,44
Kansas,6,154969,25828,45
Kansas St.,6,311512,51919,46
Kent St.,6,65387,10898,47
Kentucky,7,375500,53643,48
La.-Monroe,5,67057,13411,49
Liberty,,,,50
Louisiana,6,121346,20224,51
Louisiana Tech,5,102059,20412,52
Louisville,6,324391,54065,53
LSU,7,708618,101231,54
Marshall,7,173319,24760,55
Maryland,6,237690,39615,56
Massachusetts,6,87059,14510,57
Memphis,7,261419,37346,58
Miami (FL),6,351434,58572,59
Miami (OH),6,102657,17110,60
Michigan,8,883741,110468,61
Michigan St.,7,522666,74667,62
Middle Tenn.,,,,63
Minnesota,7,306697,43814,64
Mississippi St.,6,349904,58317,65
Missouri,7,365651,52236,66
Navy,6,189425,31571,67
NC State,,,,68
Nebraska,7,631402,90200,69
Nevada,6,111003,18501,70
New Mexico,7,141938,20277,71
New Mexico St.,5,47725,9545,72
North Carolina,6,301500,50250,73
North Carolina St.,6,402479,57497,74
North Texas,6,119269,19878,75
Northern Ill.,5,55095,11019,76
Northwestern,7,243586,34798,77
Notre Dame,6,484770,80795,78
Ohio,6,127139,21190,79
Ohio St.,7,750944,107278,80
Oklahoma,6,521142,86857,81
Oklahoma St.,7,376695,53814,82
Old Dominion,6,120708,20118,83
Ole Miss,7,454368,64910,84
Oregon,6,328062,54677,85
Oregon St.,7,263357,37622,86
Penn St.,7,701800,100257,87
Pittsburgh,7,322531,46076,88
Purdue,7,241158,34451,89
Rice,6,128551,21425,90
Rutgers,7,313629,44804,91
San Diego St.,6,223735,37289,92
San Jose St.,6,92515,15419,93
SMU,6,142272,23712,94
South Ala.,7,113749,16250,95
South Carolina,7,538441,76920,96
South Fla.,7,262772,37539,97
Southern California,6,410755,68459,98
Southern Miss.,6,171525,28588,99
Stanford,6,264853,44142,100
Syracuse,6,196828,32805,101
TCU,7,316179,45168,102
Temple,7,190574,27225,103
Tennessee,7,706776,100968,104
Texas,6,587283,97881,105
Texas A&M,7,713418,101917,106
Texas St.,6,108717,18120,107
Texas Tech,6,349498,58250,108
Toledo,6,123766,20628,109
Troy,6,135203,22534,110
Tulane,6,136310,22718,111
Tulsa,6,115404,19234,112
UAB,,,,113
UCF,6,214814,35802,114
UCLA,6,404751,67459,115
UConn,7,187569,26796,116
UNLV,6,110336,18389,117
Utah,6,279038,46506,118
Utah St.,6,114814,19136,119
UTEP,7,161004,23001,120
UTSA,6,138226,23038,121
Vanderbilt,6,187451,31242,122
Virginia,6,239576,39929,123
Virginia Tech,6,378259,63043,124
Wake Forest,7,185192,26456,125
Washington,7,452123,64589,126
Washington St.,7,221722,31675,127
West Virginia,7,403084,57583,128
Western Ky.,7,123935,17705,129
Western Mich.,6,143025,23838,130
Wisconsin,6,476144,79357,131
Wyoming,7,148860,21266,132
