School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Michigan,7,"776,429","110,918",
Penn St,7,"739,403","105,629",
Tennessee,7,"735,269","105,038",
Ohio St.  ,8,"838,963","104,870",
Georgia ,6,"552,348","92,058",
LSU  ,7,"636,817","90,974",
Florida,6,"541,060","90,177",
Auburn,7,"596,422","85,203",
Texas ,6,"500,034","83,339",
Oklahoma,7,"582,413","83,202",
Florida St.,6,"498,895","83,149",
Alabama,8,"659,106","82,388",
South Carolina,8,"646,754","80,844",
Notre Dame,6,"484,770","80,795",
Wisconsin,7,"549,404","78,486",
Southern California,6,"466,824","77,804",
Nebraska,7,"544,276","77,754",
Texas A&M,7,"533,703","76,243",
Clemson ,7,"532,551","76,079",
Michigan St. ,7,"509,811","72,830",
Washington ,7,"503,341","71,906",
Iowa ,7,"460,584","65,798",
Kentucky,7,"454,457","64,922",
Arkansas ,7,"445,119","63,588",
Virginia Tech,7,"434,214","62,031",
Brigham Young,6,"369,003","61,501",
Virginia ,6,"362,545","60,424",
Pittsburgh,6,"355,183","59,197",
Purdue,7,"410,176","58,597",
Miami (Fla.) ,7,"406,946","58,135",
Oregon,6,"346,207","57,701",
UCLA ,6,"339,813","56,636",
Mississippi ,7,"395,561","56,509",
Arizona St.,6,"325,488","54,248",
Missouri,6,"319,721","53,287",
North Carolina St. ,7,"372,919","53,274",
Georgia Tech,6,"317,172","52,862",
West Virginia,7,"365,436","52,205",
Maryland,6,"307,418","51,236",
Colorado,6,"302,538","50,423",
Texas Tech,6,"297,650","49,608",
Illinois,6,"288,581","48,097",
Mississippi St. ,6,"286,000","47,667",
North Carolina,6,"282,800","47,133",
Kansas St. ,8,"376,878","47,110",
Oklahoma St.,7,"314,107","44,872",
Stanford ,6,"269,221","44,870",
Iowa St. ,7,"313,757","44,822",
Minnesota,7,"309,038","44,148",
Arizona,7,"299,352","42,765",
Boston College ,6,"255,622","42,604",
Syracuse ,7,"288,238","41,177",
Hawaii ,7,"285,540","40,791",
Louisville,6,"240,279","40,047",
Air Force ,6,"235,259","39,210",
Kansas ,7,"271,251","38,750",
Memphis ,7,"270,673","38,668",
Fresno St. ,6,"231,618","38,603",
California,6,"229,831","38,305",
Connecticut,6,"222,356","37,059",
Army,7,"255,605","36,515",
TCU ,6,"216,931","36,155",
Oregon St. ,7,"252,993","36,142",
Utah,6,"210,801","35,134",
Indiana,6,"209,900","34,983",
Washington St. ,5,"166,653","33,331",
New Mexico,7,"232,737","33,248",
East Caro. ,6,"198,073","33,012",
Colorado St.,6,"183,786","30,631",
South Fla.,6,"183,069","30,512",
Navy,5,"149,682","29,936",
Baylor ,7,"208,960","29,851",
Northwestern ,6,"172,578","28,763",
Southern Miss. ,6,"171,870","28,645",
Vanderbilt,7,"197,977","28,282",
Wake Forest ,7,"197,911","28,273",
Boise St. ,6,"168,590","28,098",
Marshall ,5,"139,186","27,837",
Rutgers,6,"164,032","27,339",
Tulane,6,"153,808","25,635",
Miami (Ohio) ,5,"125,661","25,132",
 Toledo,6,"147,820","24,637",
UNLV ,6,"146,191","24,365",
UCF ,5,"121,574","24,315",
Temple ,5,"120,687","24,137",
Northern Ill. ,7,"165,026","23,575",
UAB,5,"116,190","23,238",
San Diego St. ,6,"135,669","22,612",
Nevada,6,"133,546","22,258",
Tulsa ,6,"132,789","22,132",
Cincinnati ,6,"131,766","21,961",
Houston,6,"130,844","21,807",
Bowling Green ,7,"147,013","21,002",
Troy St. ,4,"83,596","20,899",
Louisiana Tech,5,"103,890","20,778",
Rice ,6,"123,071","20,512",
Duke ,7,"140,181","20,026",
UTEP,7,"140,065","20,009",
North Texas ,5,"93,469","18,694",
Western Mich. ,6,"110,872","18,479",
Arkansas St.,5,"87,439","17,488",
Southern Methodist ,6,"104,609","17,435",
New Mexico St. ,5,"80,343","16,069",
Ohio ,6,"94,944","15,824",
Wyoming ,6,"94,214","15,702",
San Jose St. ,5,"75,398","15,080",
Utah St. ,5,"74,604","14,921",
La.-Lafayette ,6,"83,970","13,995",
Central Mich. ,6,"83,442","13,907",
Akron ,6,"82,869","13,812",
Buffalo,6,"74,513","12,419",
Ball St. ,6,"74,034","12,339",
Idaho ,5,"60,319","12,064",
La.-Monroe ,5,"56,492","11,298",
Eastern Mich. ,7,"78,808","11,258",
Middle Tenn. ,6,"66,127","11,021",
Kent St. ,6,"51,144","8,524",
